Rank,CPI2015,Country,wbcode
1,91,Denmark,DNK
2,90,Finland,FIN
3,89,Sweden,SWE
4,88,New Zealand,NZL
5,87,Netherlands,NLD
5,87,Norway,NOR
7,86,Switzerland,CHE
8,85,Singapore,SGP
9,83,Canada,CAN
10,81,Germany,DEU
10,81,Luxembourg,LUX
10,81,United Kingdom,GBR
13,79,Australia,AUS
13,79,Iceland,ISL
15,77,Belgium,BEL
16,76,Austria,AUT
16,76,The United States Of America,USA
18,75,Hong Kong,HKG
18,75,Ireland,IRL
18,75,Japan,JPN
21,74,Uruguay,URY
22,71,Qatar,QAT
23,70,Chile,CHL
23,70,Estonia,EST
23,70,France,FRA
23,70,United Arab Emirates,ARE
27,65,Bhutan,BTN
28,63,Botswana,BWA
28,63,Portugal,PRT
30,62,Poland,POL
30,62,Taiwan,TWN
32,61,Cyprus,CYP
32,61,Israel,ISR
32,61,Lithuania,LTU
35,60,Slovenia,SVN
36,58,Spain,ESP
37,56,Czech Republic,CZE
37,56,Korea (South),KOR
37,56,Malta,MLT
40,55,Cape Verde,CPV
40,55,Costa Rica,CRI
40,55,Latvia,LVA
40,55,Seychelles,SYC
44,54,Rwanda,RWA
45,53,Jordan,JOR
45,53,Mauritius,MUS
45,53,Namibia,NAM
48,52,Georgia,GEO
48,52,Saudi Arabia,SAU
50,51,Bahrain,BHR
50,51,Croatia,HRV
50,51,Hungary,HUN
50,51,Slovakia,SVK
54,50,Malaysia,MYS
55,49,Kuwait,KWT
56,47,Cuba,CUB
56,47,Ghana,GHA
58,46,Greece,GRC
58,46,Romania,ROM
60,45,Oman,OMN
61,44,Italy,ITA
61,44,Lesotho,LSO
61,44,Montenegro,MNE
61,44,Senegal,SEN
61,44,South Africa,ZAF
66,42,Sao Tome and Principe,STP
66,42,The FYR of Macedonia,MKD
66,42,Turkey,TUR
69,41,Bulgaria,BGR
69,41,Jamaica,JAM
71,40,Serbia,SRB
72,39,El Salvador,SLV
72,39,Mongolia,MNG
72,39,Panama,PAN
72,39,Trinidad and Tobago,TTO
76,38,Bosnia and Herzegovina,BIH
76,38,Brazil,BRA
76,38,Burkina Faso,BFA
76,38,India,IND
76,38,Thailand,THA
76,38,Tunisia,TUN
76,38,Zambia,ZMB
83,37,Benin,BEN
83,37,China,CHN
83,37,Colombia,COL
83,37,Liberia,LBR
83,37,Sri Lanka,LKA
88,36,Albania,ALB
88,36,Algeria,DZA
88,36,Egypt,EGY
88,36,Indonesia,IDN
88,36,Morocco,MAR
88,36,Peru,PER
88,36,Suriname,SUR
95,35,Armenia,ARM
95,35,Mali,MLI
95,35,Mexico,MEX
95,35,Philippines,PHL
99,34,Bolivia,BOL
99,34,Djibouti,DJI
99,34,Gabon,GAB
99,34,Niger,NER
103,33,Dominican Republic,DOM
103,33,Ethiopia,ETH
103,33,Kosovo,KSV
103,33,Moldova,MDA
107,32,Argentina,ARG
107,32,Belarus,BLR
107,32,Cªte dÇIvoire,CIV
107,32,Ecuador,ECU
107,32,Togo,TGO
112,31,Honduras,HND
112,31,Malawi,MWI
112,31,Mauritania,MRT
112,31,Mozambique,MOZ
112,31,Vietnam,VNM
117,30,Pakistan,PAK
117,30,Tanzania,TZA
119,29,Azerbaijan,AZE
119,29,Guyana,GUY
119,29,Russia,RUS
119,29,Sierra Leone,SLE
123,28,Gambia,GMB
123,28,Guatemala,GTM
123,28,Kazakhstan,KAZ
123,28,Kyrgyzstan,KGZ
123,28,Lebanon,LBN
123,28,Madagascar,MDG
123,28,Timor-Leste,TMP
130,27,Cameroon,CMR
130,27,Iran,IRN
130,27,Nepal,NPL
130,27,Nicaragua,NIC
130,27,Paraguay,PRY
130,27,Ukraine,UKR
136,26,Comoros,COM
136,26,Nigeria,NGA
136,26,Tajikistan,TJK
139,25,Bangladesh,BGD
139,25,Guinea,GIN
139,25,Kenya,KEN
139,25,Laos,LAO
139,25,Papua New Guinea,PNG
139,25,Uganda,UGA
145,24,Central African Republic,CAF
146,23,Congo Republic,COG
147,22,Chad,TCD
147,22,Democratic Republic of the Congo,ZAR
147,22,Myanmar,MMR
150,21,Burundi,BDI
150,21,Cambodia,KHM
150,21,Zimbabwe,ZWE
153,19,Uzbekistan,UZB
154,18,Eritrea,ERI
154,18,Syria,SYR
154,18,Turkmenistan,TKM
154,18,Yemen,YEM
158,17,Haiti,HTI
158,17,Guinea-Bissau,GNB
158,17,Venezuela,VEN
161,16,Iraq,IRQ
161,16,Libya,LBY
163,15,Angola,AGO
163,15,South Sudan,SDN
165,12,Sudan,SDN
166,11,Afghanistan,AFG
167,8,Korea (North),PRK
167,8,Somalia,SOM
