Country,Subject Descriptor,Units,Scale,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,59.07 ,60.81 ,62.66 ,65.30 ,69.08 ,74.01 ,80.16 ,86.81 
Albania,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,30.52 ,31.59 ,32.77 ,34.28 ,36.28 ,38.59 ,41.11 ,43.78 
Algeria,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,519.95 ,548.58 ,570.64 ,599.83 ,634.08 ,671.30 ,710.55 ,751.20 
Angola,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,166.42 ,177.26 ,185.25 ,194.06 ,204.88 ,217.97 ,233.08 ,250.44 
Antigua and Barbuda,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1.92 ,2.03 ,2.10 ,2.17 ,2.26 ,2.37 ,2.48 ,2.60 
Argentina,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,931.30 ,951.00 ,964.28 ,968.48 ,985.40 ,1007.10 ,1031.14 ,1055.84 
Armenia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,23.18 ,24.37 ,25.22 ,26.07 ,27.25 ,28.65 ,30.29 ,32.03 
Australia,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,1053.23 ,1099.77 ,1136.92 ,1183.26 ,1240.72 ,1303.78 ,1371.34 ,1440.67 
Austria,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,389.02 ,396.81 ,403.77 ,415.05 ,428.38 ,442.23 ,456.75 ,471.61 
Azerbaijan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,158.81 ,165.93 ,174.33 ,180.86 ,189.28 ,201.27 ,214.35 ,226.49 
Bahamas,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,8.80 ,9.03 ,9.23 ,9.55 ,9.98 ,10.36 ,10.76 ,11.17 
Bahrain,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,58.52 ,62.17 ,64.90 ,67.78 ,70.92 ,74.44 ,78.56 ,82.90 
Bangladesh,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,496.57 ,536.48 ,576.99 ,623.30 ,678.56 ,740.97 ,810.07 ,883.32 
Barbados,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,4.48 ,4.57 ,4.66 ,4.77 ,4.91 ,5.07 ,5.26 ,5.48 
Belarus,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,167.31 ,172.76 ,168.25 ,166.54 ,170.41 ,175.73 ,182.26 ,189.24 
Belgium,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,470.50 ,483.33 ,494.62 ,507.76 ,524.18 ,542.98 ,563.29 ,584.22 
Belize,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,2.83 ,2.98 ,3.07 ,3.21 ,3.36 ,3.52 ,3.68 ,3.85 
Benin,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,18.54 ,19.86 ,21.16 ,22.54 ,24.22 ,26.13 ,28.22 ,30.55 
Bhutan,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,5.43 ,5.87 ,6.38 ,7.00 ,7.74 ,8.78 ,9.66 ,10.51 
"Bolivia, Plurinational State of",Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,65.56 ,70.28 ,73.88 ,77.37 ,81.48 ,86.06 ,91.01 ,96.23 
Bosnia and Herzegovina,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,37.28 ,38.29 ,39.46 ,41.13 ,43.31 ,45.83 ,48.66 ,51.69 
Botswana,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,33.80 ,35.87 ,37.16 ,38.82 ,40.89 ,43.38 ,46.18 ,49.26 
Brazil,Gross domestic product based on purchasing-power-parity (PPP) valuation of country GDP,Current international dollar,Billions,3218.20 ,3275.80 ,3207.86 ,3212.11 ,3341.89 ,3491.14 ,3654.48 ,3827.63 
