Country,1990,1995,2000,2005,2015
Afghanistan,47.4,55.9,52.5,44.9,35.4
Albania,21.4,19.1,21.1,17.1,13.2
Algeria,17.1,18,14.8,12.2,8.7
Angola,67.3,66.8,58.3,45.3,32.6
Argentina,7.7,7.2,5.3,5,2.5
Armenia,,21.8,17.4,14.1,11.2
Azerbaijan,,28.3,27.2,16.7,10
Bahrain,,,,,
Bangladesh,52.2,50.3,38.5,31,27.3
Belarus,,2.5,2.5,2.5,2.5
Benin,46.1,42.6,38.2,33.3,21.8
Bhutan,,,,,
"Bolivia, Plurinational State of",38.9,35.1,30.5,27.2,16.9
Bosnia and Herzegovina,,10.8,9.6,6.8,2.5
Botswana,31.3,34.3,33.2,31.2,23.1
Brazil,18.2,15,12,6.7,2.5
Bulgaria,8.1,10.2,9.4,9.2,8.5
Burkina Faso,53,46.1,48.4,49.6,31.8
Burundi,,,,,
Cambodia,46.9,45.2,45,29.8,22.6
Cameroon,39.8,43.7,40.4,34,24.2
Central African Republic,51.9,51,51.4,51,46.9
Chad,65,60.6,52,53.1,46.4
Chile,6.8,2.5,2.5,2.5,2.5
China,25.1,23.2,15.9,13.2,8.6
Colombia,16.7,13,11.4,10.7,8.8
Comoros,,,,,
"Congo, the Democratic Republic of the",,,,,
Congo,38.9,41.1,38.1,33.5,26.6
Costa Rica,7.5,7,6.1,5.7,2.5
Cote d'Ivoire,33.8,32.1,31.4,32.7,26.3
Croatia,,8.6,6.1,2.5,2.5
Cuba,8,13.5,6.1,2.5,2.5
Djibouti,56.1,56.1,48.5,46.1,33.2
Dominican Republic,26.3,20.3,19.4,18.1,10.8
Ecuador,23.8,19.7,20.2,19,14
Egypt,20.5,18.9,15.1,13.1,13.5
El Salvador,22.4,18.6,16.8,13.1,11.1
Eritrea,,,,,
Estonia,,10,6.8,5.6,2.5
Ethiopia,71.7,67.3,58.6,48.5,33.9
Fiji,12.5,11.2,10.1,9.3,8.7
Gabon,23.2,20.8,18.5,16.2,12.5
Gambia,36.4,35.4,27.9,26.3,21.5
Georgia,,31.8,15.2,10.2,8.5
Ghana,45.7,36.8,29.9,23.3,15.5
Guatemala,28.8,27.8,28,23.9,21.1
Guinea,47.8,45.8,44.4,38,28.8
Guinea-Bissau,46.1,42.1,44.2,41.8,30.3
Guyana,25.4,22.7,19,17.3,14.4
Haiti,52.1,52.1,42.8,45.4,37.3
Honduras,26.5,24.7,20.4,17.8,13.4
India,48.1,42.3,38.2,38.5,29
Indonesia,34.8,32.5,25.3,26.5,22.1
"Iran, Islamic Republic of",18.5,16.5,13.7,9.5,6.8
Iraq,17.4,24.3,24.9,23.6,22.2
