Country ,WB CPIA Score ,ADB/AfDB CPIA Score ,Harmonized Average ,Political and Peace- Building Missions,Peace-keeping Missions 
,,,,,
Afghanistan ,2.65,2.842,2.7,P ,Pk 
,,,,,
Burundi ,3.242,3.409,3.3,P ,
,,,,,
Central African Republic ,2.5,2.262,2.4,P ,
,,,,,
Chad ,2.6,3.247,2.9,,
,,,,,
Comoros ,2.758,2.392,2.6,,
,,,,,
"Congo, the Democratic Republic of the",2.883,3.29,3.1,,Pk 
,,,,,
Cote d'Ivoire ,3.183,3.342,3.3,,Pk 
,,,,,
Eritrea ,1.992,1.933,2,,
,,,,,
Guinea-Bissau ,2.525,2.644,2.6,P ,
,,,,,
Haiti ,2.833,- ,2.8,,Pk 
,,,,,
Kiribati ,2.908,2.983,2.9,,
,,,,,
Kosovo ,3.592,- ,3.6,,Pk 
,,,,,
Liberia ,3.125,3.492,3.3,,Pk 
,,,,,
Madagascar ,3.017,3.162,3.1,,
,,,,,
Mali ,3.383,3.775,3.6,,Pk 
,,,,,
Marshall Islands ,2.642,2.967,2.8,,
,,,,,
"Micronesia, Federated States of",2.692,2.883,2.8,,
,,,,,
Myanmar ,2.95,- ,3,,
,,,,,
Sierra Leone ,3.267,3.447,3.4,P ,
,,,,,
Solomon Islands ,2.933,3.308,3.1,,
,,,,,
Somalia ,- ,1.104,1.1,P ,
,,,,,
South Sudan ,2.092,2.279,2.2,,Pk 
,,,,,
Sudan ,2.358,2.62,2.5,,Pk 
,,,,,
Togo ,2.967,3.093,3,,
,,,,,
Tuvalu ,2.767,3.05,2.9,,
,,,,,
Yemen ,2.992,- ,3,,
,,,,,
"Palestine, State of",- ,- ,,P ,
,,,,,
Timor-Leste ,3.058,3.317,3.2,,Pk 
,,,,,
Zimbabwe ,2.258,2.173,2.2,,
,,,,,
Bosnia and Herzegovina,- ,- ,- ,P ,
,,,,,
Iraq ,- ,- ,- ,P ,
,,,,,
Libya ,- ,- ,- ,P ,
,,,,,
Syrian Arab Republic,- ,- ,- ,P ,
