"","Country","continent","region","ISO3","wbcode","Climate_NominalScore","Climate_AdjustedScore","Hunger_Score","Corruption_Score","Fragile_State","LIFDC","Average_Conflict","GDP","HDI_2014","Corruption_Zscore","Climate_Zscore","Conflict_Zscore","Hunger_Zscore","Climate_Nominal_Zscore","Conflict_Zscore_Reversed","Summary_ZScore","Summary_ZScore_2","Summary_ZScore_3","Summary_ZScore_4","Summary_ZScore_5"
"1","Afghanistan","Asia","Southern Asia","AFG","AFG",33.4016369481,-3.56777640411,35.4,11,1,1,8.91604084825,62.66,0.465,-1.57049122091849,-0.350099424662224,2.21005789484602,1.5111659912492,-1.40041605628445,-2.21005789484602,-1.37688284680891,-1.72698839068298,-1.89027455788225,-1.80523697556523,-1.48545363860147
"2","Aland Islands","Europe","Northern Europe","ALA","ALA",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Albania","Europe","Southern Europe","ALB","ALB",56.2466926616,3.06603796275,13.2,36,0,0,2.51305446425,32.77,0.733,-0.326889575394798,0.0999504635146747,-0.67815795830844,-0.380449693411364,0.292128734007118,0.67815795830844,0.150406282142772,0.214465705640253,0.175634191456821,0.485143346157779,-0.0173804206938399
"4","Algeria","Africa","Northern Africa","DZA","DZA",46.218883185,-9.6830945914,8.7,36,0,0,6.30423783375,570.64,0.736,-0.326889575394798,-0.764973600235323,1.03194343084445,-0.763885305166884,-0.450811747316638,-1.03194343084445,-0.707935535491523,-0.603214917851961,-0.679416503119623,-0.741377589080543,-0.388850661355718
"5","American Samoa","Oceania","Polynesia","ASM","ASM",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andorra","Europe","Southern Europe","AND","ADO",NA,NA,NA,NA,0,0,NA,NA,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Angola","Africa","Middle Africa","AGO","AGO",36.2648274387,-13.2190373179,32.6,15,0,0,4.930370075,185.25,0.532,-1.3715149576347,-1.00485830919116,0.412228441152299,1.27258383282354,-1.18828796129304,-0.412228441152299,-0.929533902659384,-0.990677120026677,-0.891871699393497,-0.800258201222668,-1.27990145946387
"8","Anguilla","Americas","Caribbean","AIA","AIA",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Antarctica",NA,NA,"ATA","ATA",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Antigua and Barbuda","Americas","Caribbean","ATG","ATG",51.9226862071,-8.08885554431,NA,NA,0,0,NA,2.1,0.783,NA,-0.656817558297461,NA,NA,-0.0282283134666711,NA,NA,NA,NA,NA,NA
"11","Argentina","Americas","South America","ARG","ARG",53.8627200286,110.618733444,2.5,32,0,0,2.6220919415,964.28,0.836,-0.525865838678588,7.39651860631181,-0.628974069495501,-1.29217437025227,0.115504937996965,0.628974069495501,2.49987561237624,0.0728710562712924,0.0515541154084563,0.372239503746233,-0.205180450340812
"12","Armenia","Asia","Western Asia","ARM","ARM",58.0005809587,7.45632024728,11.2,35,0,0,4.396513881,25.22,0.733,-0.376633641215745,0.397795103408175,0.17142019475833,-0.550865520858262,0.422070833393452,-0.17142019475833,-0.0500862441886334,-0.0419943341935412,-0.274026917987038,0.125325319317561,0.0227185960888532
"13","Aruba","Americas","Caribbean","ABW","ABW",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Australia","Oceania","Australia and New Zealand","AUS","AUS",77.2998413126,10.3134145038,NA,79,0,0,1.8102081925,1136.92,0.935,1.81210525490595,0.591625512212079,-0.995193107636793,NA,1.85191469011782,0.995193107636793,1.13297462491827,1.55307101755352,1.40364918127137,1.42355389887731,1.83200997251189
"15","Austria","Europe","Western Europe","AUT","AUT",76.3798750944,9.24307415404,NA,76,0,0,NA,403.77,0.885,1.6628730574431,0.51901169939164,NA,NA,1.78375622075859,NA,NA,NA,NA,NA,1.72331463910085
"16","Austria-Hungary",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Azerbaijan","Asia","Western Asia","AZE","AZE",52.1708112121,-5.75422504676,10,29,0,0,4.91088521175,174.33,0.751,-0.675098036141431,-0.498432029813931,0.40343934063573,-0.6531150173264,-0.00984522480973937,-0.40343934063573,-0.525656468863697,-0.362794200528967,-0.53926868838858,-0.206642282722735,-0.342471630475585
"18","Baden",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Bahamas","Americas","Caribbean","BHS","BHS",54.3290494287,-6.39502484496,NA,NA,0,0,NA,9.23,0.79,NA,-0.541905039695604,NA,NA,0.15005435676825,NA,NA,NA,NA,NA,NA
